1 Jul,32.6,27.6,26.2,22.7,0,6.7,2.6,1014.2,1014.2,1012.8
2 Jul,33.3,27.8,26.8,24.7,0,5.8,2.7,1014.2,1013,1012.6
3 Jul,32.1,24.2,26.5,22.3,8.4,9.4,4.7,1014.2,1013.8,1012.3
4 Jul,33.2,27.1,26.5,24.4,8.4,5.8,2.7,1014.2,1014.3,1013.8
5 Jul,33.5,27.5,26.4,23.8,8.4,7.2,3.1,1014.2,1014.3,1012.8
8 Jul,27.4,26.9,25.6,24.7,0,1.3,0.8,1014.2,1014.6,1013.5
9 Jul,30.9,23.9,26.9,23,5,2.7,1,1014.2,1015.7,1010.9
11 Jul,33.8,27.5,25.2,22.8,0.0,2.7,1.9,1014.2,1015.4,1011.8
12 Jul,33.2,26.9,25.7,23.6,0.0,3.1,1.4,1014.2,1015.2,1011.6
13 Jul,33.4,26.7,26.3,23.7,0.0,3.1,1.5,1014.2,1014.5,1010.1
14 Jul,33.2,27.8,26.2,24.1,0.0,2.7,1.6,1014.2,1013.8,1008.7
15 Jul,28.9,23.5,25.3,22.4,19.2,5.4,1.2,1014.2,1014.0,1010.1
16 Jul,31.3,26.1,26.2,22.7,3.8,3.1,1.3,1014.2,1012.6,1008.9
17 Jul,31.9,26.1,25.9,21.8,0.0,3.1,1.5,1014.2,1012.0,1007.7
18 Jul,32.7,27.2,25.2,21.9,0.0,3.1,1.9,1014.2,1011.0,1007.2
19 Jul,32.8,27.1,25.2,21.6,0.0,3.1,1.6,1014.2,1011.2,1008.3
20 Jul,33.0,27.3,25.8,22.9,0.0,2.7,1.3,1014.2,1011.9,1008.2
21 Jul,33.0,25.9,26.6,23.3,0.0,2.7,0.8,1014.2,1011.9,1009.5
22 Jul,32.6,25.9,26.2,22.7,0.0,4.0,0.9,1014.2,1012.9,1009.2
23 Jul,28.7,26.9,24.7,23.1,0.0,4.7,0.8,1014.2,1014.3,1012.3
24 Jul,29.1,26.9,25.0,23.1,0.0,6.5,0.9,1014.2,1014.9,1012.3
25 Jul,32.7,26.9,25.4,20.8,0.0,9.7,1.1,1014.2,1015.3,1011.5
26 Jul,33.8,25.1,25.2,22.2,0.0,9.7,1.4,1014.2,1014.2,1010.5
27 Jul,33.5,26.9,25.9,23.0,0.0,3.6,1.5,28.6,1013.7,1009.4
29 Jul,34.2,27.2,26.4,22.1,0.0,6.7,1.5,28.7,1014.2,1010.1
30 Jul,33.1,27.4,26.2,23.9,0.0,7.6,1.6,28.6,1014.4,1009.6
31 Jul,32.8,27.2,25.4,22.2,0.0,8.9,1.7,27.8,1013.8,1009.7
