1 Oct,32.3,24.3,26.3,23.5,0.0,6.7,1.0,26.3,1015.2,1011.5
2 Oct,32.9,23.8,26.2,21.3,1.4,8.0,1.1,24.3,1014.9,1012.0
4 Oct,32.0,24.2,26.0,22.8,25.2,7.6,1.2,27.7,1015.6,1010.7
5 Oct,33.8,24.4,25.4,22.5,0.4,7.6,1.5,25.2,1014.0,1008.8
7 Oct,32.0,24.1,26.0,22.4,25.0,9.4,1.0,24.9,1014.2,1010.4
8 Oct,32.4,23.9,26.3,23.5,0.6,7.2,1.1,26.4,1014.5,1009.8
9 Oct,32.7,24.7,26.2,22.5,0.6,6.7,1.0,26.4,1014.2,1009.2
10 Oct,33.0,24.4,26.4,23.5,0.0,6.7,1.2,26.2,1014.5,1010.4
11 Oct,34.9,24.1,26.1,22.0,0.0,8.0,1.5,28.6,1014.1,1009.1
12 Oct,33.1,25.4,27.5,23.7,8.2,8.0,1.0,26.0,1013.1,1008.9
13 Oct,34.4,25.0,26.7,21.6,0.0,6.3,1.1,28.3,1013.3,1008.9
14 Oct,35.1,25.4,26.7,20.4,0.0,6.7,1.2,27.1,1013.3,1009.2
15 Oct,32.8,25.0,26.6,22.5,0.2,5.4,1.1,27.6,1013.5,1009.1
16 Oct,33.7,26.0,26.5,24.0,0.4,8.9,1.3,27.8,1013.3,1008.0
21 Oct,31.4,25.6,26.9,24.1,3.0,7.2,1.0,26.8,1012.2,1008.2
23 Oct,32.6,24.1,26.2,23.6,13.6,8.0,0.9,26.1,1013.1,1008.0
24 Oct,31.1,25.1,27.4,21.2,0.2,5.4,0.9,27.4,1013.2,1008.9
25 Oct,34.4,25.6,26.7,23.4,0.0,7.6,1.3,26.5,1013.8,1008.1
26 Oct,33.5,24.7,26.0,23.1,4.6,6.7,0.9,25.4,1013.3,1009.5
27 Oct,34.6,24.0,26.1,23.1,10.0,8.5,1.3,24.9,1012.5,1007.2
30 Oct,33.9,25.5,25.7,21.1,0.6,7.2,1.1,26.6,1012.4,1008.2
31 Oct,32.3,25.1,26.5,23.5,0.0,6.3,1.0,27.8,1012.6,1008.2
