1 Sep,33.3,25.2,26.0,22.7,0.0,6.7,1.4,28.5,1013.2,1009.4
2 Sep,33.1,26.9,27.6,24.7,5.6,6.7,1.7,28.8,1013.1,1009.8
3 Sep,33.7,27.6,26.4,22.9,0.0,7.2,1.7,28.7,1013.3,1008.9
4 Sep,32.5,24.5,26.5,23.0,4.4,7.2,1.5,28.5,1014.4,1009.6
5 Sep,34.1,27.2,26.4,22.6,0.0,8.0,1.8,28.2,1014.2,1009.4
8 Sep,33.8,26.6,25.5,20.7,0.0,8.0,1.9,28.3,1014.8,1010.4
9 Sep,33.5,27.3,25.9,23.0,0.0,6.3,1.8,28.6,1014.4,1010.3
10 Sep,33.1,27.5,26.0,23.1,0.0,7.2,2.1,28.3,1015.2,1010.6
11 Sep,34.1,27.2,25.9,20.3,0.0,6.7,1.7,28.3,1016.3,1011.7
12 Sep,33.9,26.5,25.6,23.0,0.0,7.6,1.5,28.3,1016.8,1011.5
13 Sep,33.3,26.2,25.6,23.1,0.0,5.8,1.3,28.5,1015.5,1010.9
14 Sep,30.1,26.4,25.8,24.3,0.2,6.7,1.2,28.0,1015.2,1010.8
15 Sep,32.7,27.0,25.6,23.1,0.0,7.2,1.4,27.9,1014.0,1009.7
16 Sep,33.1,26.6,24.9,21.1,0.0,6.3,1.4,28.0,1013.6,1008.8
17 Sep,33.1,26.9,25.9,22.5,0.0,6.7,1.6,28.4,1014.1,1009.7
18 Sep,33.4,27.6,25.9,23.1,0.0,7.2,2.1,28.3,1014.4,1010.5
20 Sep,32.8,27.4,25.6,23.0,0.0,6.7,1.8,28.0,1014.6,1010.4
21 Sep,34.2,26.9,25.4,18.8,0.0,8.0,2.1,28.4,1013.5,1009.4
22 Sep,33.9,26.7,25.6,22.5,0.0,8.0,2.4,28.7,1014.4,1009.8
23 Sep,32.1,27.4,25.9,22.9,0.6,11.2,2.1,27.5,1014.9,1010.9
25 Sep,30.4,24.2,26.0,23.4,21.4,7.2,1.0,25.2,1014.7,1011.6
27 Sep,32.6,25.7,27.1,21.3,2.6,6.3,1.2,27.2,1015.6,1011.2
28 Sep,33.4,24.9,26.1,23.9,0.2,7.6,0.9,27.9,1015.5,1010.8
29 Sep,33.4,23.8,26.6,22.0,25.2,14.3,1.0,24.7,1015.2,1011.3
30 Sep,30.3,23.7,26.0,22.5,17.4,7.2,1.0,25.2,1016.0,1012.0
